I,J,M_lda_ij,SD_lda_ij,M_omega_ij,SD_omega_ij
3,47,-0.07343999,0.05875456,2.18999547,0.21586516
3,48,0.06907888,0.0989053,2.83599872,0.26316229
3,49,0.42110223,0.09128045,2.27165563,0.18391286
3,50,0.23213307,0.12677879,1.61005714,0.27765522
3,51,-0.43707792,0.11490019,1.19831445,0.2224832
3,52,0.34816228,0.22000703,1.67339325,0.24365809
3,53,0.50935164,0.53665381,1.77527791,0.18307197
3,54,0.24030111,0.07466362,-0.68975756,0.1322935
3,55,-0.10980449,0.13194447,1.79159844,0.19656543
4,1,0.39354608,0.21608982,-3.77515622,0.32603615
4,2,-1.12949403,0.36237122,-3.71537353,0.33444701
4,3,0.14016515,0.13380603,2.54819775,0.13384735
4,4,3.16236367,0.2801848,5.73953375,0.66312564
4,5,0.26208461,0.06261247,0.37864951,0.10659899
4,6,0.33219059,0.0817134,3.56993196,0.50157029
4,7,-0.02765769,0.10447996,-0.584685,0.14065455
4,8,0.25235181,0.06682499,4.98579938,0.78194715
4,9,-0.12007617,0.04819499,5.26738093,0.71486114
4,10,-1.16172569,0.15642503,5.53663232,0.74430158
4,11,0.29874157,0.15167586,-0.39539167,0.09206962
4,12,0.37813271,0.12660137,-3.85760036,0.47696963
4,13,-0.02076191,0.0834736,-6.43132727,0.56286604
4,14,0.11048025,0.07054481,-6.28874658,0.55347832
4,15,-0.11789626,0.04964083,-5.67982296,0.48746733
4,16,0.06913819,0.06905898,-5.67515647,0.48560117
4,17,-0.01719811,0.06967687,-3.63413679,0.39543395
4,18,0.08887824,0.02294878,-3.4476261,0.56484113
4,19,0.06936538,0.02275328,-4.02226866,0.49596446
4,20,-0.1066366,0.06065106,-2.981804,0.67794123
4,21,-1.40973807,0.10508926,5.18395331,0.64086513
4,22,-0.10097362,0.07496914,3.48721107,0.32252548
4,23,-0.12944332,0.02143967,3.2927108,0.30447918
4,24,-0.25029427,0.13683734,5.60317934,0.53196052
4,25,-0.58467248,0.08948621,4.49588444,0.34891838
4,26,-0.22440773,0.07501154,4.26229156,0.52936021
4,27,0.02863858,0.14226963,2.43592019,0.47301092
4,28,-0.41857807,0.11370774,2.64397522,0.61565645
4,29,0.1283016,0.09610081,3.87108874,0.48822672
4,30,0.45423272,0.06763637,3.14136346,0.57044573
4,31,-0.03512708,0.08250553,1.94925042,0.39989385
4,32,0.06814398,0.02920442,5.05604661,0.78368267
4,33,-0.32126131,0.0583519,4.89448269,0.56231259
4,34,-0.13088023,0.06289474,5.41377043,0.89806329
4,35,0.04020692,0.0933886,4.9841025,0.87367007
4,36,0.02151887,0.05929213,4.60226942,0.66913466
4,37,-0.1608392,0.06286968,5.03039305,0.73958686
4,38,-0.08728246,0.13603457,2.8800386,0.56505313
4,39,0.33953403,0.13922443,-0.55507618,0.10017648
4,40,-0.78665002,0.1744231,0.51358652,0.06232407
4,41,0.06255625,0.09640679,6.17129793,1.03380354
4,42,0.06310247,0.04071693,6.39574131,1.41360187
4,43,-0.11645825,0.11112406,6.31459171,1.17576116
4,44,-0.04834986,0.06324305,3.72185715,0.84566997
4,45,0.22102616,0.1362989,4.64330511,0.78089024
4,46,-0.0450661,0.08454457,3.97138099,0.47940646
4,47,0.22043679,0.04433375,4.47194229,0.79882804
4,48,-0.0024253,0.03495313,5.89331485,1.0850607
4,49,0.18603864,0.07188895,5.35780965,0.85772132
4,50,0.01743811,0.05018464,3.95841352,0.96330267
4,51,-0.77896821,0.13051749,3.04583097,0.72852366
4,52,-0.01149042,0.13817351,4.0234222,0.86226799
4,53,0.37687658,0.1679609,4.05321117,0.76600241
4,54,0.06802166,0.05451321,-0.49059813,0.16551941
4,55,0.05231553,0.06926713,3.57285412,0.23510514
5,1,-0.32073386,0.08459803,2.88320153,0.61055716
5,2,-0.15747494,0.10434639,1.99697544,0.48439147
5,3,-0.53555904,0.10485784,0.42355568,0.04889478
5,4,0.26208461,0.06261247,0.37864951,0.10659899
5,5,1.86423935,0.18880106,1.96701056,0.19563634
5,6,0.14881729,0.05398269,-0.30054228,0.13542111
5,7,0.15207403,0.06286581,0.50557728,0.07335132
5,8,-0.00100319,0.06267306,-0.78570853,0.13557174
