Site_Name,Paper_ID,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
Bear Creek,43,40.43141,-123.98378,29,12.2,17.4,7.3,10.2,1266,94,17.5,186.2,35,2654,2246,108,332,68,331,263,10,-11.3,36.9,15.4,941,508,65,48.87,1183
Trinity,44,40.65827,-122.91334,502,12.2,22.3,3.5,18.8,914,83,24.3,270,85,2882,2497,385,266,128,292,165,30,-19.8,42.6,16.1,1217,824,52,-28.77,1570
Slate Creek,45,41.25024,-123.64343,334,13.6,22.2,6,16.2,1457,123,16.2,180.3,46,3227,2066,439,310,105,322,218,17,-14.4,43.6,13.2,1209,726,55,23.94,1761
Salmon River 2 ,46,41.2969,-123.36034,332,13.6,23.8,4.4,19.4,1182,87,19.9,273.5,65,3305,2187,570,293,114,314,200,26,-17.1,44.5,14.9,1226,802,54,-6.09,1892
Smith River,47,41.87876,-123.82774,320,11.6,20.5,4.1,16.4,2004,187,10.8,109.5,75,2626,2573,252,277,126,297,171,52,-18.4,41,12.7,1106,581,55,97.95,1331
Carberry Creek,48,42.05383333,-123.1629,685,10.5,20,2.3,17.6,760,117,27,170.6,114,2351,2927,206,247,138,291,153,36,-22.2,39.7,15.3,1039,652,56,-17.54,1180
North Fork Silver Creek,49,42.53529,-123.73016,920,10,18.5,3.3,15.2,1656,188,12.1,98.4,107,2143,3039,137,276,136,313,177,75,-17.7,37.9,15,896,444,65,89.34,1021
Shasta Costa Creek,50,42.57281,-124.04742,289,12.5,20.1,5.8,14.4,2180,211,10.3,95.5,50,2833,2280,260,319,93,323,231,30,-13.4,41,14.9,1035,510,61,121.97,1424
Cow Creek,51,42.92653,-123.48479,884,10.8,19.2,4,15.2,1046,137,19.9,139.7,85,2338,2809,168,294,117,310,193,32,-16.5,39.3,14,924,515,64,21.66,1131
Honey Creek,52,43.30581667,-122.95505,273,10.9,19.2,3.6,15.6,1351,195,15.5,98.4,88,2407,2755,178,280,125,302,177,42,-18.1,39.6,12.6,980,489,60,49.54,1176
North Fork Umpqua,53,43.3282,-123.0154,225,11.1,19.1,3.7,15.4,1245,179,17,106.8,83,2448,2696,177,282,123,298,176,35,-18,40.1,14.7,1007,523,59,34.92,1191
Susan Creek,54,43.4137,-122.78043,495,10.4,19,3,16,1464,223,13.9,85.2,105,2257,2941,158,267,135,300,165,58,-19.5,39.3,14.3,953,445,60,63.58,1097
Coast Fork Willamette,55,43.66,-123.0799667,252,10.7,18.4,3.7,14.7,1292,200,16,92.2,83,2302,2791,128,286,117,304,186,36,-18.1,38.9,13.5,924,437,62,50.54,1070
"Yakima, WA",56,-46.72734,-120.8268,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
