ID,Site,Old_Site,Paper_ID,Year,Population,Collection,ID,Extraction Plate,Position,Nanodrop ng/uL ,260/280,260/230,Qubit (ng/uL),Quality Sample Plate,Position,Volume,Volume for 150 ng,Volume Dispensed,Submission Plate,Position,Volume,Qubit (ng/uL),Notes
577,Little North Fork Middle Fork Feather,Little North Fork Middle Fork Feather,40,2010,,Baseline,577,01-Jun,E3,12.7,1.6,2,3.9,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,E3,45,39,40,Angert Mimulus – 6,E3,40,3.87,
579,Little North Fork Middle Fork Feather,Little North Fork Middle Fork Feather,40,2010,,Baseline,579,01-Jun,G3,71.2,1.8,2.1,43.2,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,G3,45,4,40,Angert Mimulus – 6,G3,40,43.2,
581,Little North Fork Middle Fork Feather,Little North Fork Middle Fork Feather,40,2010,,Baseline,581,01-Jun,H3,133.3,1.9,2.3,42,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,H3,45,4,40,Angert Mimulus – 6,H3,40,42,
582,Manzana Creek,Manzana Creek,20,2010,,Baseline,582,01-Jun,A3,72.6,1.8,1.9,21.7,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,A3,45,7,40,Angert Mimulus – 6,A3,40,21.7,
583,Manzana Creek,Manzana Creek,20,2010,,Baseline,583,01-Jun,B3,167.9,1.9,2.2,53,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,B3,45,3,40,Angert Mimulus – 6,B3,40,53,
119,Mill Creek,Mill Creek,12,2010,S11,Both,119,01-Feb,F3,7.4,1.9,2.5,3.8,Quality Extraction Plate 2 Mimulus Angert 2020 DM,F3,50,40,45,Angert Mimulus – 2,F3,45,3.78,
120,Mill Creek,Mill Creek,12,2010,S11,Both,120,R-3,G3,986,2,2.3,74.8,Quality Extraction Plate 2 Mimulus Angert 2020 DM,G3,30,3,25,Angert Mimulus – 2,G3,25,74.8,
121,Mill Creek,Mill Creek,12,2010,S11,Both,121,01-Feb,H3,29.6,1.8,3.2,5.2,Quality Extraction Plate 2 Mimulus Angert 2020 DM,H3,50,29,0,Angert Mimulus – 2,H3,0,5.18,
122,Mill Creek,Mill Creek,12,2010,S11,Both,122,R-4,A9,420.6,1.9,2.2,42.1,Quality Extraction Plate 2 Mimulus Angert 2020 DM,A4,30,4,25,Angert Mimulus – 2,A4,25,42.1,
123,Mill Creek,Mill Creek,12,2010,S11,Both,123,R-3,H3,195.6,1.9,2.1,30.3,Quality Extraction Plate 2 Mimulus Angert 2020 DM,B4,30,5,25,Angert Mimulus – 2,B4,25,30.3,
124,Mill Creek,Mill Creek,12,2010,S11,Both,124,R-3,A4,428.2,1.9,2.3,71.6,Quality Extraction Plate 2 Mimulus Angert 2020 DM,C4,30,3,25,Angert Mimulus – 2,C4,25,71.6,
125,Mill Creek,Mill Creek,12,2010,S11,Both,125,R-3,B4,252.3,1.9,2.2,87.2,Quality Extraction Plate 2 Mimulus Angert 2020 DM,D4,30,2,25,Angert Mimulus – 2,D4,25,87.2,
614,Mill Creek,Mill Creek,12,2010,S11,Both,614,01-Jun,D4,328.1,1.9,2.3,52,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,D4,45,3,40,Angert Mimulus – 6,D4,40,52,
615,Mill Creek,Mill Creek,12,2010,S11,Both,615,01-Jun,E4,94,1.9,2.3,44.2,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,E4,45,4,40,Angert Mimulus – 6,E4,40,44.2,
616,Mill Creek,Mill Creek,12,2010,S11,Both,616,01-Jun,F4,254.2,1.9,2.4,54,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,F4,45,3,40,Angert Mimulus – 6,F4,40,54,
126,Mill Creek,Mill Creek,12,2011,S11,Timeseries,126,01-Feb,E4,99.6,1.9,2.5,24.8,Quality Extraction Plate 2 Mimulus Angert 2020 DM,E4,50,7,45,Angert Mimulus – 2,E4,45,24.8,
127,Mill Creek,Mill Creek,12,2011,S11,Timeseries,127,R-3,C4,661.7,1.9,2.3,121,Quality Extraction Plate 2 Mimulus Angert 2020 DM,F4,30,2,25,Angert Mimulus – 2,F4,25,121,
128,Mill Creek,Mill Creek,12,2011,S11,Timeseries,128,01-Feb,G4,54.6,1.9,2.8,5.1,Quality Extraction Plate 2 Mimulus Angert 2020 DM,G4,50,30,45,Angert Mimulus – 2,G4,45,5.08,
129,Mill Creek,Mill Creek,12,2011,S11,Timeseries,129,01-Feb,H4,33.4,1.8,3,14.7,Quality Extraction Plate 2 Mimulus Angert 2020 DM,H4,50,11,45,Angert Mimulus – 2,H4,45,14.7,
130,Mill Creek,Mill Creek,12,2011,S11,Timeseries,130,01-Feb,A5,169.6,1.9,2.5,14.9,Quality Extraction Plate 2 Mimulus Angert 2020 DM,A5,50,11,45,Angert Mimulus – 2,A5,45,14.9,
131,Mill Creek,Mill Creek,12,2011,S11,Timeseries,131,R-3,D4,347.9,1.9,2.2,70.8,Quality Extraction Plate 2 Mimulus Angert 2020 DM,B5,30,3,25,Angert Mimulus – 2,B5,25,70.8,
132,Mill Creek,Mill Creek,12,2011,S11,Timeseries,132,01-Feb,C5,15.5,1.8,4.2,5.6,Quality Extraction Plate 2 Mimulus Angert 2020 DM,C5,50,27,0,Angert Mimulus – 2,C5,0,5.58,
133,Mill Creek,Mill Creek,12,2013,S11,Timeseries,133,R-5,F2,212.4,1.9,2.4,49.2,Quality Extraction Plate 2 Mimulus Angert 2020 DM,D5,30,4,30,Angert Mimulus – 2,D5,30,49.2,
134,Mill Creek,Mill Creek,12,2013,S11,Timeseries,134,R-3,F4,759.1,1.9,2.3,9.9,Quality Extraction Plate 2 Mimulus Angert 2020 DM,E5,30,16,30,Angert Mimulus – 2,E5,30,9.89,
135,Mill Creek,Mill Creek,12,2013,S11,Timeseries,135,R-3,G4,53,1.8,1.8,11.6,Quality Extraction Plate 2 Mimulus Angert 2020 DM,F5,30,13,30,Angert Mimulus – 2,F5,30,11.6,
136,Mill Creek,Mill Creek,12,2013,S11,Timeseries,136,01-Feb,G5,10.5,1.7,2.9,4,Quality Extraction Plate 2 Mimulus Angert 2020 DM,G5,50,38,50,Angert Mimulus – 2,G5,50,3.98,
137,Mill Creek,Mill Creek,12,2013,S11,Timeseries,137,R-4,B9,352.8,1.9,2.2,22.5,Quality Extraction Plate 2 Mimulus Angert 2020 DM,H5,30,7,30,Angert Mimulus – 2,H5,30,22.5,
138,Mill Creek,Mill Creek,12,2013,S11,Timeseries,138,01-Feb,A6,29.4,1.7,2.8,7.5,Quality Extraction Plate 2 Mimulus Angert 2020 DM,A6,50,20,25,Angert Mimulus – 2,A6,25,7.54,
139,Mill Creek,Mill Creek,12,2015,S11,Timeseries,139,R-3,H4,115.7,1.9,1.9,36.5,Quality Extraction Plate 2 Mimulus Angert 2020 DM,B6,30,5,25,Angert Mimulus – 2,B6,25,36.5,
140,Mill Creek,Mill Creek,12,2015,S11,Timeseries,140,R-4,C9,33.6,1.8,1.8,3.9,Quality Extraction Plate 2 Mimulus Angert 2020 DM,C6,30,39,30,Angert Mimulus – 2,C6,30,3.9,insufficent
141,Mill Creek,Mill Creek,12,2015,S11,Timeseries,141,R-5,C3,234.2,1.9,2.4,44.4,Quality Extraction Plate 2 Mimulus Angert 2020 DM,D6,30,4,30,Angert Mimulus – 2,D6,30,44.4,
142,Mill Creek,Mill Creek,12,2015,S11,Timeseries,142,01-Feb,E6,19.6,1.7,2.8,4.3,Quality Extraction Plate 2 Mimulus Angert 2020 DM,E6,50,35,50,Angert Mimulus – 2,E6,50,4.34,
143,Mill Creek,Mill Creek,12,2015,S11,Timeseries,143,01-Feb,F6,299.4,1.8,2.4,23,Quality Extraction Plate 2 Mimulus Angert 2020 DM,F6,50,7,50,Angert Mimulus – 2,F6,50,23,
144,Mill Creek,Mill Creek,12,2016,S11,Timeseries,144,R-4,D9,356.9,1.9,2.2,18.5,Quality Extraction Plate 2 Mimulus Angert 2020 DM,G6,30,9,30,Angert Mimulus – 2,G6,30,18.5,
145,Mill Creek,Mill Creek,12,2016,S11,Timeseries,145,01-Feb,H6,32.7,1.8,2.9,7.2,Quality Extraction Plate 2 Mimulus Angert 2020 DM,H6,50,21,50,Angert Mimulus – 2,H6,50,7.22,
146,Mill Creek,Mill Creek,12,2016,S11,Timeseries,146,02-Feb,A7,64.8,1.8,1.6,8.7,Quality Extraction Plate 2 Mimulus Angert 2020 DM,A7,45,18,40,Angert Mimulus – 2,A7,40,8.69,
147,Mill Creek,Mill Creek,12,2016,S11,Timeseries,147,02-Feb,B7,130.8,1.9,2,43.8,Quality Extraction Plate 2 Mimulus Angert 2020 DM,B7,45,4,40,Angert Mimulus – 2,B7,40,43.8,
617,North Fork Umpqua,"Narrows Co. Park, North Fork Umpqua",53,2007,,Baseline,617,R-2,G9,98.3,1.9,1.9,5.8,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,G4,45,26,40,Angert Mimulus – 6,G4,40,5.81,
618,North Fork Umpqua,"Narrows Co. Park, North Fork Umpqua",53,2007,,Baseline,618,01-Jun,H4,49.3,1.9,2,12.4,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,H4,45,13,40,Angert Mimulus – 6,H4,40,12.4,
619,North Fork Umpqua,"Narrows Co. Park, North Fork Umpqua",53,2007,,Baseline,619,R-2,H9,130.9,1.9,1.9,11.5,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,A5,45,14,40,Angert Mimulus – 6,A5,40,11.5,
621,NF Stanislaus,NF Stanislaus,33,2010,,Baseline,621,01-Jun,B5,85.3,1.8,2.1,44.8,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,B5,45,4,40,Angert Mimulus – 6,B5,40,44.8,
622,NF Stanislaus,NF Stanislaus,33,2010,,Baseline,622,01-Jun,C5,69,1.8,2,24.9,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,C5,45,7,40,Angert Mimulus – 6,C5,40,24.9,
623,NF Stanislaus,NF Stanislaus,33,2010,,Baseline,623,01-Jun,D5,26.1,1.7,1.9,14.6,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,D5,45,11,40,Angert Mimulus – 6,D5,40,14.6,
624,NF Stanislaus,NF Stanislaus,33,2010,,Baseline,624,01-Jun,E5,35.3,1.8,1.9,18.1,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,E5,45,9,40,Angert Mimulus – 6,E5,40,18.1,
626,NF Stanislaus,NF Stanislaus,33,2010,,Baseline,626,R-2,A10,105.5,1.9,1.8,12.3,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,F5,45,13,40,Angert Mimulus – 6,F5,40,12.3,
627,NF Stanislaus,NF Stanislaus,33,2010,,Baseline,627,01-Jun,G5,492.6,1.9,2.3,83.6,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,G5,45,2,40,Angert Mimulus – 6,G5,40,83.6,
628,NF Stanislaus,NF Stanislaus,33,2010,,Baseline,628,01-Jun,H5,280.2,1.9,2.3,66.2,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,H5,45,3,40,Angert Mimulus – 6,H5,40,66.2,
629,NF Stanislaus,NF Stanislaus,33,2010,,Baseline,629,01-Jun,A4,232.7,1.9,2.3,53,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,A4,45,3,40,Angert Mimulus – 6,A4,40,53,
630,NF Stanislaus,NF Stanislaus,33,2010,,Baseline,630,01-Jun,B4,63.9,1.8,2.1,10.9,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,B4,45,14,40,Angert Mimulus – 6,B4,40,10.9,
631,NF Stanislaus,NF Stanislaus,33,2010,,Baseline,631,01-Jun,C4,198.4,1.9,2.3,36.9,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,C4,45,5,40,Angert Mimulus – 6,C4,40,36.9,
86,NFMF Tule,NFMF Tule,3,2010,S10,Both,86,R-1,E1,75.5,2,2.4,17,Mimulus Plate 1 Quality Extractions Aug 2020,E11,95,9,30,Angert Mimulus – 1,E11,30,17,
87,NFMF Tule,NFMF Tule,3,2010,S10,Both,87,R-3,H2,345.9,1.9,2.2,32.5,Mimulus Plate 1 Quality Extractions Aug 2020,F11,40,5,25,Angert Mimulus – 1,F11,25,32.5,
662,NFMF Tule,North Fork Middle Fork Tule,3,2010,S10,Both,662,01-May,C10,30.5,1.8,2.2,13,Quality Mimulus Plate 5 Angert 2020 DM,C10,95,12,40,Angert Mimulus – 5,C10,40,13,
664,NFMF Tule,North Fork Middle Fork Tule,3,2010,S10,Both,664,01-Jun,H7,136.9,1.9,2.1,33.2,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,H7,45,5,40,Angert Mimulus – 6,H7,40,33.2,
665,NFMF Tule,North Fork Middle Fork Tule,3,2010,S10,Both,665,01-Jun,A8,564.6,1.9,2.3,54.1,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,A8,45,3,40,Angert Mimulus – 6,A8,40,54.1,
666,NFMF Tule,North Fork Middle Fork Tule,3,2010,S10,Both,666,01-Jun,B8,452.3,1.9,2.3,70.5,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,B8,45,3,40,Angert Mimulus – 6,B8,40,70.5,
667,NFMF Tule,North Fork Middle Fork Tule,3,2010,S10,Both,667,01-Jun,C8,116.9,1.8,2.1,34.3,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,C8,45,5,40,Angert Mimulus – 6,C8,40,34.3,
88,NFMF Tule,NFMF Tule,3,2011,S10,Timeseries,88,01-Jan,G11,161.4,1.8,1.9,11.5,Mimulus Plate 1 Quality Extractions Aug 2020,G11,30,14,,Angert Mimulus – 1,G11,,11.5,
89,NFMF Tule,NFMF Tule,3,2011,S10,Timeseries,89,01-Jan,H11,78.4,1.9,1.9,3.5,Mimulus Plate 1 Quality Extractions Aug 2020,H11,30,43,,Angert Mimulus – 1,H11,,3.54,
90,NFMF Tule,NFMF Tule,3,2012,S10,Timeseries,90,02-Jan,H8,1507,1.9,2.3,29.6,Mimulus Plate 1 Quality Extractions Aug 2020,A12,30,6,25,Angert Mimulus – 1,A12,25,29.6,
91,NFMF Tule,NFMF Tule,3,2012,S10,Timeseries,91,02-Jan,A9,300.2,1.8,1.7,3.4,Mimulus Plate 1 Quality Extractions Aug 2020,B12,30,45,,Angert Mimulus – 1,B12,,3.38,
92,NFMF Tule,NFMF Tule,3,2012,S10,Timeseries,92,R-1,A1,72.3,2,2.2,5.5,Mimulus Plate 1 Quality Extractions Aug 2020,C12,90,28,35,Angert Mimulus – 1,C12,35,5.45,
93,NFMF Tule,NFMF Tule,3,2013,S10,Timeseries,93,01-Jan,D12,70.1,1.8,1.6,14.2,Mimulus Plate 1 Quality Extractions Aug 2020,D12,30,11,25,Angert Mimulus – 1,D12,25,14.2,
94,NFMF Tule,NFMF Tule,3,2013,S10,Timeseries,94,R-1,B1,169.1,1.9,2.3,13,Mimulus Plate 1 Quality Extractions Aug 2020,E12,90,12,25,Angert Mimulus – 1,E12,25,13,
95,NFMF Tule,NFMF Tule,3,2013,S10,Timeseries,95,01-Jan,F12,134.4,1.8,1.7,17.4,Mimulus Plate 1 Quality Extractions Aug 2020,F12,30,9,25,Angert Mimulus – 1,F12,25,17.4,
96,NFMF Tule,NFMF Tule,3,2013,S10,Timeseries,96,01-Jan,G12,145.9,1.9,1.9,16.7,Mimulus Plate 1 Quality Extractions Aug 2020,G12,30,9,25,Angert Mimulus – 1,G12,25,16.7,
97,NFMF Tule,NFMF Tule,3,2013,S10,Timeseries,97,02-Jan,C9,449.7,1.9,1.8,24.2,Mimulus Plate 1 Quality Extractions Aug 2020,H12,30,7,25,Angert Mimulus – 1,H12,25,24.2,
98,NFMF Tule,NFMF Tule,3,2014,S10,Timeseries,98,01-Feb,A1,38.8,1.8,2.9,15.7,Quality Extraction Plate 2 Mimulus Angert 2020 DM,A1,50,10,45,Angert Mimulus – 2,A1,45,15.7,
99,NFMF Tule,NFMF Tule,3,2014,S10,Timeseries,99,R-3,A3,284.2,1.9,2.2,63.7,Quality Extraction Plate 2 Mimulus Angert 2020 DM,B1,30,3,25,Angert Mimulus – 2,B1,25,63.7,
100,NFMF Tule,NFMF Tule,3,2014,S10,Timeseries,100,01-Feb,G1,99.8,1.9,2.3,21.3,Quality Extraction Plate 2 Mimulus Angert 2020 DM,C1,50,8,45,Angert Mimulus – 2,C1,45,21.3,
101,NFMF Tule,NFMF Tule,3,2014,S10,Timeseries,101,R-3,B3,130.7,1.8,2.1,34.5,Quality Extraction Plate 2 Mimulus Angert 2020 DM,D1,40,5,35,Angert Mimulus – 2,D1,35,34.5,
102,NFMF Tule,NFMF Tule,3,2014,S10,Timeseries,102,01-Feb,E1,31.3,1.8,3.1,12.5,Quality Extraction Plate 2 Mimulus Angert 2020 DM,E1,50,12,45,Angert Mimulus – 2,E1,45,12.5,
103,NFMF Tule,NFMF Tule,3,2014,S10,Timeseries,103,01-Feb,F1,54.4,1.8,2.8,22.8,Quality Extraction Plate 2 Mimulus Angert 2020 DM,F1,50,7,45,Angert Mimulus – 2,F1,45,22.8,
104,NFMF Tule,NFMF Tule,3,2014,S10,Timeseries,104,01-Feb,G1,79.3,1.9,2.6,13.9,Quality Extraction Plate 2 Mimulus Angert 2020 DM,G1,50,11,45,Angert Mimulus – 2,G1,45,13.9,
105,NFMF Tule,NFMF Tule,3,2014,S10,Timeseries,105,01-Feb,H1,557.4,1.8,2.3,22.4,Quality Extraction Plate 2 Mimulus Angert 2020 DM,H1,50,7,45,Angert Mimulus – 2,H1,45,22.4,
106,NFMF Tule,NFMF Tule,3,2015,S10,Timeseries,106,01-Feb,A2,45.2,1.8,2.5,16.3,Quality Extraction Plate 2 Mimulus Angert 2020 DM,A2,50,10,45,Angert Mimulus – 2,A2,45,16.3,
107,NFMF Tule,NFMF Tule,3,2015,S10,Timeseries,107,01-Feb,B2,37.4,1.8,2.5,15,Quality Extraction Plate 2 Mimulus Angert 2020 DM,B2,50,10,45,Angert Mimulus – 2,B2,45,15,
108,NFMF Tule,NFMF Tule,3,2015,S10,Timeseries,108,01-Feb,C2,62.5,1.9,3,5.7,Quality Extraction Plate 2 Mimulus Angert 2020 DM,C2,50,27,45,Angert Mimulus – 2,C2,45,5.7,
109,NFMF Tule,NFMF Tule,3,2015,S10,Timeseries,109,R-3,C3,117.5,1.9,1.9,37.5,Quality Extraction Plate 2 Mimulus Angert 2020 DM,D2,50,4,45,Angert Mimulus – 2,D2,45,37.5,
110,NFMF Tule,NFMF Tule,3,2015,S10,Timeseries,110,R-3,D3,195.5,1.9,2,28,Quality Extraction Plate 2 Mimulus Angert 2020 DM,E2,50,6,45,Angert Mimulus – 2,E2,45,28,
111,NFMF Tule,NFMF Tule,3,2015,S10,Timeseries,111,R-3,E3,495.5,1.9,2.3,52.5,Quality Extraction Plate 2 Mimulus Angert 2020 DM,F2,50,3,45,Angert Mimulus – 2,F2,45,52.5,
112,NFMF Tule,NFMF Tule,3,2015,S10,Timeseries,112,01-Feb,G2,118.3,1.9,2.5,8.6,Quality Extraction Plate 2 Mimulus Angert 2020 DM,G2,50,18,45,Angert Mimulus – 2,G2,45,8.58,
113,NFMF Tule,NFMF Tule,3,2015,S10,Timeseries,113,01-Feb,H2,82.1,1.8,2.9,12.3,Quality Extraction Plate 2 Mimulus Angert 2020 DM,H2,50,13,45,Angert Mimulus – 2,H2,45,12.3,
114,NFMF Tule,NFMF Tule,3,2015,S10,Timeseries,114,01-Feb,A3,20.7,1.8,4.4,9.4,Quality Extraction Plate 2 Mimulus Angert 2020 DM,A3,50,16,0,Angert Mimulus – 2,A3,0,9.4,
115,NFMF Tule,NFMF Tule,3,2016,S10,Timeseries,115,01-Feb,B3,40.1,1.7,2.4,14.8,Quality Extraction Plate 2 Mimulus Angert 2020 DM,B3,50,11,45,Angert Mimulus – 2,B3,45,14.8,
116,NFMF Tule,NFMF Tule,3,2016,S10,Timeseries,116,R-5,E2,675.1,1.9,2.3,116,Quality Extraction Plate 2 Mimulus Angert 2020 DM,C3,30,2,35,Angert Mimulus – 2,C3,35,116,
117,NFMF Tule,NFMF Tule,3,2016,S10,Timeseries,117,R-3,F3,1239.5,1.9,2.3,123,Quality Extraction Plate 2 Mimulus Angert 2020 DM,D3,30,2,25,Angert Mimulus – 2,D3,25,123,
118,NFMF Tule,NFMF Tule,3,2016,S10,Timeseries,118,01-Feb,E3,42.9,1.8,2.9,8.9,Quality Extraction Plate 2 Mimulus Angert 2020 DM,E3,50,17,45,Angert Mimulus – 2,E3,45,8.92,
636,Nicasio Creek,Nicasio Creek,32,2009,,Baseline,636,01-Jun,G8,87.4,1.8,1.9,22,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,G8,45,7,40,Angert Mimulus – 6,G8,40,22,
637,Nicasio Creek,Nicasio Creek,32,2009,,Baseline,637,01-Jun,H8,24.4,1.8,2.1,15.7,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,H8,45,10,40,Angert Mimulus – 6,H8,40,15.7,
638,Nicasio Creek,Nicasio Creek,32,2009,,Baseline,638,01-Jun,A6,136,1.9,2.1,56,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,A6,45,3,40,Angert Mimulus – 6,A6,40,56,
639,Nicasio Creek,Nicasio Creek,32,2009,,Baseline,639,01-Jun,B6,235.9,1.9,2.3,90.6,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,B6,45,2,40,Angert Mimulus – 6,B6,40,90.6,
640,Nicasio Creek,Nicasio Creek,32,2009,,Baseline,640,01-Jun,C6,34.9,1.8,2.1,25.5,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,C6,45,6,40,Angert Mimulus – 6,C6,40,25.5,
641,Nicasio Creek,Nicasio Creek,32,2009,,Baseline,641,01-Jun,D6,171.4,1.9,2.2,49.1,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,D6,45,4,40,Angert Mimulus – 6,D6,40,49.1,
642,Nicasio Creek,Nicasio Creek,32,2009,,Baseline,642,01-Jun,E6,36,2,2.3,5.3,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,E6,45,29,40,Angert Mimulus – 6,E6,40,5.28,
643,North Feather (Chip's Creek),North Feather (Chip's Creek),42,2009,,Baseline,643,01-Jun,F6,424.3,1.9,2.4,64.3,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,F6,45,3,40,Angert Mimulus – 6,F6,40,64.3,
644,North Feather (Chip's Creek),North Feather (Chip's Creek),42,2009,,Baseline,644,01-Jun,G6,99.2,1.9,2.3,18,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,G6,45,9,40,Angert Mimulus – 6,G6,40,18,
645,North Feather (Chip's Creek),North Feather (Chip's Creek),42,2009,,Baseline,645,01-Jun,H6,25.4,1.8,1.8,11.8,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,H6,45,13,40,Angert Mimulus – 6,H6,40,11.8,
646,North Feather (Chip's Creek),North Feather (Chip's Creek),42,2009,,Baseline,646,R-2,B10,119.3,1.9,2,7.3,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,A7,45,21,40,Angert Mimulus – 6,A7,40,7.26,
647,North Feather (Chip's Creek),North Feather (Chip's Creek),42,2009,,Baseline,647,01-Jun,B7,122.7,1.8,2.1,43.8,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,B7,45,4,40,Angert Mimulus – 6,B7,40,43.8,
648,North Feather (Chip's Creek),North Feather (Chip's Creek),42,2009,,Baseline,648,01-Jun,C7,69.1,1.8,1.9,22,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,C7,45,7,40,Angert Mimulus – 6,C7,40,22,
649,North Feather (Chip's Creek),North Feather (Chip's Creek),42,2009,,Baseline,649,01-Jun,D7,428.8,1.9,2.3,64.1,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,D7,45,3,40,Angert Mimulus – 6,D7,40,64.1,
650,North Feather (Chip's Creek),North Feather (Chip's Creek),42,2009,,Baseline,650,01-Jun,E7,92.5,1.8,1.9,17.7,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,E7,45,9,40,Angert Mimulus – 6,E7,40,17.7,
651,North Feather (Chip's Creek),North Feather (Chip's Creek),42,2009,,Baseline,651,01-Jun,F7,270.3,1.9,2.2,46.5,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,F7,45,4,40,Angert Mimulus – 6,F7,40,46.5,
653,North Feather (Chip's Creek),North Feather (Chip's Creek),42,2009,,Baseline,653,01-Jun,G7,311,1.9,2.3,35.2,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,G7,45,5,40,Angert Mimulus – 6,G7,40,35.2,
656,North Fork (seep),North Fork (seep),22,2008,,Baseline,656,01-May,G3,367,1.9,2.3,55.6,Quality Mimulus Plate 5 Angert 2020 DM,G3,30,3,30,Angert Mimulus – 5,G3,30,55.6,
657,North Fork (seep),North Fork (seep),22,2008,,Baseline,657,01-May,H9,42.4,1.9,2.3,15.9,Quality Mimulus Plate 5 Angert 2020 DM,H9,95,10,40,Angert Mimulus – 5,H9,40,15.9,
658,North Fork (seep),North Fork (seep),22,2008,,Baseline,658,01-May,A10,94.1,1.9,2.4,22.4,Quality Mimulus Plate 5 Angert 2020 DM,A10,95,7,40,Angert Mimulus – 5,A10,40,22.4,
659,North Fork (seep),North Fork (seep),22,2008,,Baseline,659,01-May,B10,24.3,1.8,2.2,6,Quality Mimulus Plate 5 Angert 2020 DM,B10,95,26,40,Angert Mimulus – 5,B10,40,5.95,
893,North Fork Silver Creek,North Fork Silver Creek,49,2010,,Baseline,893,01-Aug,G8,1508.5,1.9,2.2,68.1,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,G8,30,3,25,Angert Mimulus – 8,G8,25,68.1,
894,North Fork Silver Creek,North Fork Silver Creek,49,2010,,Baseline,894,01-Aug,H8,180.1,1.8,1.7,13.5,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,H8,30,12,25,Angert Mimulus – 8,H8,25,13.5,
895,North Fork Silver Creek,North Fork Silver Creek,49,2010,,Baseline,895,01-Aug,A9,161.7,1.8,1.7,15,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,A9,30,10,25,Angert Mimulus – 8,A9,25,15,
896,North Fork Silver Creek,North Fork Silver Creek,49,2010,,Baseline,896,01-Aug,B9,199.5,1.9,1.8,17.2,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,B9,30,9,25,Angert Mimulus – 8,B9,25,17.2,
897,North Fork Silver Creek,North Fork Silver Creek,49,2010,,Baseline,897,01-Aug,C9,351.1,1.9,2.1,50,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,C9,30,3,25,Angert Mimulus – 8,C9,25,50,
898,North Fork Silver Creek,North Fork Silver Creek,49,2010,,Baseline,898,01-Aug,D9,147.6,1.8,1.6,50.3,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,D9,30,3,25,Angert Mimulus – 8,D9,25,50.3,
899,North Fork Silver Creek,North Fork Silver Creek,49,2010,,Baseline,899,01-Aug,E9,131.4,1.9,1.6,11.4,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,E9,30,14,25,Angert Mimulus – 8,E9,25,11.4,
900,North Fork Silver Creek,North Fork Silver Creek,49,2010,,Baseline,900,R-2,E11,248.4,1.9,2.1,3.7,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,F9,30,41,25,Angert Mimulus – 8,F9,25,3.66,insufficent
