ID,Site,Old_Site,Paper_ID,Year,Population,Collection,ID,Extraction Plate,Position,Nanodrop ng/uL ,260/280,260/230,Qubit (ng/uL),Quality Sample Plate,Position,Volume,Volume for 150 ng,Volume Dispensed,Submission Plate,Position,Volume,Qubit (ng/uL),Notes
939,Cottonwood Creek,Cottonwood Creek,13,2010,,Baseline,939,R-2,H11,172.4,1.9,1.9,17.8,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,G11,30,9,25,Angert Mimulus – 8,G11,25,17.8,
940,Cottonwood Creek,Cottonwood Creek,13,2010,,Baseline,940,01-Aug,H11,152.3,1.9,1.6,11,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,H11,30,14,25,Angert Mimulus – 8,H11,25,11,
941,Cottonwood Creek,Cottonwood Creek,13,2010,,Baseline,941,01-May,H11,11.3,2,2.6,7.8,Quality Mimulus Plate 5 Angert 2020 DM,H11,95,20,40,Angert Mimulus – 5,H11,40,7.8,
942,Cottonwood Creek,Cottonwood Creek,13,2010,,Baseline,942,01-Jun,A9,307,1.9,2.1,80.1,Quality Mimulus Plate 6 Angert/Rieseberg DM Nov 2020,A9,45,2,40,Angert Mimulus – 6,A9,40,80.1,
943,Cottonwood Creek,Cottonwood Creek,13,2010,,Baseline,943,01-Aug,E8,214.8,1.9,1.9,22.9,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,E8,30,7,25,Angert Mimulus – 8,E8,25,22.9,
944,Cottonwood Creek,Cottonwood Creek,13,2010,,Baseline,944,01-Aug,F8,430.8,1.9,2.1,59.3,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,F8,30,3,25,Angert Mimulus – 8,F8,25,59.3,
479,Cow Creek,Cow Creek - Oregon,51,2008,,Baseline,479,01-May,E8,71,1.9,2.3,11,Quality Mimulus Plate 5 Angert 2020 DM,E8,95,14,40,Angert Mimulus – 5,E8,40,11,
913,Crane Creek,Crane Creek,25,2010,,Baseline,913,01-Aug,B10,785.1,1.9,2,95.2,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,B10,30,2,25,Angert Mimulus – 8,B10,25,95.2,
914,Crane Creek,Crane Creek,25,2010,,Baseline,914,01-Aug,C10,404.2,1.8,2,45.3,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,C10,30,4,25,Angert Mimulus – 8,C10,25,45.3,
916,Crane Creek,Crane Creek,25,2010,,Baseline,916,01-Aug,D10,200.2,1.8,1.7,32.3,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,D10,30,5,25,Angert Mimulus – 8,D10,25,32.3,
917,Crane Creek,Crane Creek,25,2010,,Baseline,917,01-Aug,E10,658.8,1.9,1.8,78.3,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,E10,30,2,25,Angert Mimulus – 8,E10,25,78.3,
918,Crane Creek,Crane Creek,25,2010,,Baseline,918,R-2,F11,476.2,1.9,2.2,150,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,F10,30,1,25,Angert Mimulus – 8,F10,25,150,
919,Crane Creek,Crane Creek,25,2010,,Baseline,919,R-5,H4,61.2,1.8,2,20.3,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,G10,30,8,30,Angert Mimulus – 8,G10,30,20.3,
920,Crane Creek,Crane Creek,25,2010,,Baseline,920,01-Aug,H10,256.6,1.9,1.8,34.9,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,H10,30,5,25,Angert Mimulus – 8,H10,25,34.9,
921,Crane Creek,Crane Creek,25,2010,,Baseline,921,01-Aug,A10,186.7,1.9,1.8,19.9,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,A10,30,8,25,Angert Mimulus – 8,A10,25,19.9,
931,Crane Creek,Crane Creek,25,2010,,Baseline,931,01-Aug,A11,811.5,1.9,1.9,75.5,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,A11,30,2,25,Angert Mimulus – 8,A11,25,75.5,
932,Crane Creek,Crane Creek,25,2010,,Baseline,932,01-Aug,B11,445.3,1.9,2.1,129,Plate 8-1 Mimulus Angert Rieseberg Nov 2020,B11,30,2,25,Angert Mimulus – 8,B11,25,129,
480,Creek to Rubicon,Creek to Rubicon,36,2009,,Baseline,480,R-2,F8,173.1,1.9,2.2,17.2,Quality Mimulus Plate 5 Angert 2020 DM,F8,45,9,40,Angert Mimulus – 5,F8,40,17.2,
481,Creek to Rubicon,Creek to Rubicon,36,2009,,Baseline,481,01-May,G8,38.7,1.8,2.3,4.3,Quality Mimulus Plate 5 Angert 2020 DM,G8,95,35,40,Angert Mimulus – 5,G8,40,4.29,
482,Creek to Rubicon,Creek to Rubicon,36,2009,,Baseline,482,01-May,H8,79.2,1.9,2.3,6.6,Quality Mimulus Plate 5 Angert 2020 DM,H8,95,23,40,Angert Mimulus – 5,H8,40,6.61,
483,Creek to Rubicon,Creek to Rubicon,36,2009,,Baseline,483,R-2,G8,70.5,2,2.3,5.2,Quality Mimulus Plate 5 Angert 2020 DM,A9,45,29,40,Angert Mimulus – 5,A9,40,5.23,
484,Creek to Rubicon,Creek to Rubicon,36,2009,,Baseline,484,01-May,B9,32.7,2,2.4,16.9,Quality Mimulus Plate 5 Angert 2020 DM,B9,95,9,40,Angert Mimulus – 5,B9,40,16.9,
485,Creek to Rubicon,Creek to Rubicon,36,2009,,Baseline,485,R-2,H8,48.4,1.9,2,6.1,Quality Mimulus Plate 5 Angert 2020 DM,C9,49,25,40,Angert Mimulus – 5,C9,40,6.05,
486,Creek to Rubicon,Creek to Rubicon,36,2009,,Baseline,486,R-5,B5,90.4,1.8,2.2,22.5,Quality Mimulus Plate 5 Angert 2020 DM,D9,30,7,40,Angert Mimulus – 5,D9,40,22.5,
487,Creek to Rubicon,Creek to Rubicon,36,2009,,Baseline,487,01-May,E9,33.7,2,2.6,3.2,Quality Mimulus Plate 5 Angert 2020 DM,E9,95,47,40,Angert Mimulus – 5,E9,40,3.2,
488,Creek to Rubicon,Creek to Rubicon,36,2009,,Baseline,488,R-5,A6,44.1,1.8,2.2,11.7,Quality Mimulus Plate 5 Angert 2020 DM,F9,30,13,40,Angert Mimulus – 5,F9,40,11.7,
489,Creek to Rubicon,Creek to Rubicon,36,2009,,Baseline,489,01-May,G9,219.1,1.9,2.4,4.1,Quality Mimulus Plate 5 Angert 2020 DM,G9,95,37,40,Angert Mimulus – 5,G9,40,4.1,
221,Deep Creek,Deep Creek,8,2011,S17,Both,221,01-Jul,B4,82.7,1.9,2.2,23,Quality Mimulus Plate 7 Angert 2020 DM,B4,100,7,40,Angert Mimulus – 7,B4,40,23,
222,Deep Creek,Deep Creek,8,2011,S17,Both,222,01-Jul,C4,170.6,1.9,2.4,29.3,Quality Mimulus Plate 7 Angert 2020 DM,C4,100,6,40,Angert Mimulus – 7,C4,40,29.3,
